Category,Billing Opportunity,CPT / HCPCS Code(s),Payer Type,Eligible Population,Trigger / Detection Logic for NP Companion,Est. Revenue per Event,Frequency,Cost-Share Waived?,Modifier,Documentation Requirements,Notes / Gotchas
Annual Wellness Visit (AWV),,,,,,,,,,,
Annual Wellness Visit (AWV),Initial AWV,G0438,Medicare,Medicare Part B beneficiaries; >12 months since Part B effective date; no IPPE or AWV in past 12 months,Flag Medicare patients without G0438/G0439 claim in past 12 months; check eligibility window from Part B enrollment date,$175,Annual,Yes (copay + deductible),,"Health Risk Assessment (HRA), review of functional ability and safety, detection of cognitive impairment, personalized prevention plan, screening schedule list, advance directive discussion",First AWV only — subsequent visits use G0439. Can bill G2211 add-on if longitudinal relationship criteria met.
Annual Wellness Visit (AWV),Subsequent AWV,G0439,Medicare,Medicare Part B beneficiaries who have had a previous AWV or IPPE,Flag Medicare patients with prior AWV but no AWV in past 12 months,$130,Annual,Yes (copay + deductible),,"Updated HRA, updated prevention plan, updated screening schedule, cognitive assessment, advance care planning discussion",Most common AWV code in established practices. Pair with screening add-ons below.
Annual Wellness Visit (AWV),Initial Preventive Physical Exam (IPPE / Welcome to Medicare),G0402,Medicare,New Medicare Part B beneficiaries within first 12 months of Part B coverage,Flag new Medicare patients with Part B effective date within last 12 months and no prior IPPE,$175,Once,Yes (copay + deductible),,"Review of medical/surgical history, review of potential risk factors for depression, review of functional ability/safety, EKG, education/counseling, referral list",Must occur within first 12 months of Part B enrollment. Cannot bill both IPPE and AWV in same 12-month period.
Annual Wellness Visit (AWV),Advance Care Planning (as part of AWV),"99497, 99498",Medicare,All Medicare beneficiaries (especially during AWV),Flag all AWV visits; prompt provider to document ACP discussion; flag patients >65 without advance directive on file,$85,Annual (with AWV),Yes (when billed with AWV),,"Document voluntary discussion of advance directives, healthcare proxy, living will, code status; 99497 = first 30 min, 99498 = each additional 30 min","Zero cost-share ONLY when billed as part of AWV. If billed standalone, normal cost-sharing applies. Time-based — document start/stop times."
Annual Wellness Visit (AWV),Personalized Prevention Plan of Service (PPPS) Update,G0468,Medicare,Medicare beneficiaries receiving AWV or IPPE,Auto-include when AWV/IPPE is billed,$0,Annual,Yes,,Update to personalized prevention plan as part of AWV/IPPE,Bundled into AWV payment — not separately reimbursed but required for compliant billing.
Preventive Visit,,,,,,,,,,,
Preventive Visit,Well-Woman Visit,"99385-99387 (new), 99395-99397 (est)",Private,"All women, annually from adolescence through lifespan",Flag female patients without preventive visit in past 12 months; age-appropriate code selection,$180,Annual,Yes (with modifier 33),33,"Age-appropriate screening services, contraception counseling, breast exam, pelvic exam as indicated, preventive counseling",Women's Preventive Services Initiative recommendation. Use modifier 33 for zero cost-sharing.
Preventive Visit,Wellness Exam (Periodic Preventive Medicine),"99391-99397 (est), 99381-99387 (new)",Private,"All patients, age-stratified code selection",Flag patients without preventive visit in past 12 months; select code by age bracket,$200,Annual,Yes (with modifier 33),33,"Comprehensive history, examination, anticipatory guidance, risk factor reduction, age/gender appropriate labs and screening orders","Age brackets: 99391/99381 (<1y), 99392/99382 (1-4), 99393/99383 (5-11), 99394/99384 (12-17), 99395/99385 (18-39), 99396/99386 (40-64), 99397/99387 (65+)"
E/M Add-On Codes,,,,,,,,,,,
E/M Add-On Codes,G2211 — Complexity Add-On,G2211,Medicare,Medicare patients seen for E/M visit (99202-99215) when the visit relates to a condition that is being managed in an ongoing longitudinal relationship,Flag all Medicare E/M visits where patient has ≥1 chronic condition managed by the practice; auto-suggest when qualifying conditions exist in problem list,$16,Per qualifying E/M visit,N/A (provider add-on),,Relationship must be ongoing (not first visit for new problem); condition requires ongoing management decision-making; document the medical decision-making complexity and relationship continuity,Cannot be billed with modifier 25 E/M. Cannot be billed with preventive visits. Pays ~$16.05 per visit — small per event but high volume. CMS began paying Jan 2024.
E/M Add-On Codes,Prolonged Services (Office),99417,Medicare / Private,Patients requiring E/M visit time exceeding the highest-level code threshold (99205: >74 min or 99215: >54 min total time),Flag visits where encounter timer exceeds 54 min (established) or 74 min (new); prompt for 99417 documentation,$65,Per qualifying visit (each additional 15 min),Standard cost-sharing,,Must bill highest-level E/M first (99205 or 99215); document total time on date of encounter; 99417 for each additional 15 min (or part thereof),Each unit = 15 minutes beyond threshold. Can bill multiple units. Medicare uses 99417; some private payers use 99354-99355 (check payer).
E/M Add-On Codes,Prolonged Preventive Services,"G0513, G0514",Medicare,Medicare beneficiaries whose preventive visit extends beyond the typical service time,Flag preventive visits where encounter timer exceeds typical time for the billed preventive code,$45,Per qualifying visit,Yes (copay + deductible waived),,G0513 = first 30 min beyond typical; G0514 = each additional 30 min; document total time,Use with AWV or IPPE when additional time is spent. Time-based — document start/stop.
Chronic Care Management (CCM),,,,,,,,,,,
Chronic Care Management (CCM),CCM — Standard (20+ min),99490,Medicare,"Medicare patients with 2+ chronic conditions expected to last ≥12 months that place the patient at significant risk of death, acute exacerbation, or functional decline",Flag Medicare patients with ≥2 qualifying chronic ICD-10 codes on active problem list; check no CCM claim in current calendar month; verify patient consent on file,$62,Monthly,Standard cost-sharing,,"Written patient consent, comprehensive care plan, 20+ min of clinical staff time per calendar month (non-face-to-face), care coordination documentation",Only one provider can bill CCM per patient per month. Patient must consent. MA/RN time counts. Big revenue multiplier over a panel.
Chronic Care Management (CCM),CCM — Complex (60+ min),99491,Medicare,"Same as 99490 but requiring ≥60 min of clinical staff time per month, with physician/NP personally performing substantial portion",Flag CCM-eligible patients where monthly care coordination time logs approach/exceed 60 min; prompt upgrade from 99490,$130,Monthly,Standard cost-sharing,,"Same as 99490 plus: provider personally performs substantial care management activities, 60+ min total clinical staff time, more complex care plan",Higher reimbursement than 99490. Requires provider personal involvement — not just delegated staff time.
Chronic Care Management (CCM),CCM — Additional 30 min,99439,Medicare,"Medicare patients already qualifying for 99490, with additional 30 min of clinical staff time in same month",Flag when CCM time logs for a 99490 patient reach 40+ min in a month; can be billed up to 2 additional units,$47,Monthly (up to 2 units),Standard cost-sharing,,Document additional 30 min increments of clinical staff time beyond the initial 20 min,"Add-on to 99490. Up to 2 units per month (i.e., 20 + 30 + 30 = 80 min max with 99490 + 2x99439)."
Chronic Care Management (CCM),Principal Care Management (PCM),"99424, 99425",Medicare,Medicare patients with 1 complex chronic condition requiring ongoing management,"Flag Medicare patients with a single dominant chronic condition (e.g., CHF, COPD, CKD) where CCM 2-condition threshold is not met",$70,Monthly,Standard cost-sharing,,"99424 = first 30 min, 99425 = each additional 30 min; single complex condition care plan; clinical staff time per calendar month",Alternative to CCM for patients with only 1 qualifying condition. Cannot bill both PCM and CCM for same patient in same month.
Transitional Care Management (TCM),,,,,,,,,,,
Transitional Care Management (TCM),TCM — High Complexity,99496,Medicare / Private,"Patients discharged from hospital, SNF, observation, or partial hospitalization within past 30 days with high medical decision-making complexity",Monitor hospital/SNF discharge notifications; flag patients with recent inpatient stay; verify face-to-face visit within 7 days and phone/electronic contact within 2 business days of discharge,$280,Per discharge episode (30-day period),Standard cost-sharing,,"Contact within 2 business days of discharge (phone/electronic), face-to-face visit within 7 calendar days, medication reconciliation, care coordination for 30-day period, high-complexity MDM",Extremely high-value code. Requires proactive discharge tracking. The 2-business-day contact is the most commonly missed requirement.
Transitional Care Management (TCM),TCM — Moderate Complexity,99495,Medicare / Private,Same as 99496 but moderate medical decision-making complexity,Same discharge tracking as 99496; flag when MDM is moderate rather than high,$220,Per discharge episode (30-day period),Standard cost-sharing,,Same requirements as 99496 but face-to-face visit within 14 calendar days (instead of 7) and moderate-complexity MDM,"Lower bar than 99496. If you miss the 7-day window for 99496, you can still capture 99495 within 14 days."
Behavioral Health Integration (BHI),,,,,,,,,,,
Behavioral Health Integration (BHI),General BHI,99484,Medicare,"Medicare patients with behavioral health condition (depression, anxiety, SUD, etc.) requiring 20+ min of clinical staff time per month for BH care management","Flag Medicare patients with active behavioral health ICD-10 codes (F20-F48, F10-F19, etc.) on problem list; track monthly BH care coordination time",$50,Monthly,Standard cost-sharing,,"Initial assessment, care plan, 20+ min/month of BH care manager time, systematic monitoring with validated tools (PHQ-9, GAD-7), treatment adjustment",Cannot bill same month as CoCM (99492-99494). Lower documentation bar than CoCM.
Behavioral Health Integration (BHI),Collaborative Care Model (CoCM) — Initial,99492,Medicare,Medicare patients with BH condition enrolled in collaborative care model with psychiatric consultant,Flag BH-eligible patients where practice has collaborative care infrastructure; track initial 36+ min per month,$165,Monthly (initial month),Standard cost-sharing,,"Psychiatric consultant oversight, behavioral health care manager, 36+ min first calendar month, systematic care tracking, patient registry, measurement-based care with validated tools",Requires practice to have CoCM infrastructure: BH care manager + psychiatric consultant. Higher reimbursement than 99484.
Behavioral Health Integration (BHI),Collaborative Care Model (CoCM) — Subsequent,99493,Medicare,"Same as 99492, subsequent months",Flag CoCM patients in months 2+; track 36+ min per month,$130,Monthly (subsequent),Standard cost-sharing,,Same as 99492 for subsequent months; 36+ min clinical staff time,Ongoing monthly billing for patients actively in CoCM.
Behavioral Health Integration (BHI),CoCM — Additional 30 min,99494,Medicare,CoCM patients with additional 30 min of clinical staff time in a month,Flag when CoCM time logs exceed 36 min threshold; bill as add-on,$65,Monthly (add-on),Standard cost-sharing,,Additional 30 min of BH care manager time beyond initial 36 min,Add-on to 99492 or 99493.
Screening Instruments,,,,,,,,,,,
Screening Instruments,"Depression Screening (PHQ-9, PHQ-2)",96127,Medicare / Private,All adults (USPSTF A recommendation); Medicare: all beneficiaries; Private: general adult population including pregnant/postpartum,Flag all adult patients at each visit or annually; auto-prompt for PHQ-2/PHQ-9 administration; flag result for documentation,$8,Per administration (up to 2 per visit),Yes,33 (private); G0444 (Medicare),"Standardized screening instrument, score documented in chart, brief interpretation, follow-up plan if positive","Can bill up to 2 units per encounter for different screening domains (e.g., PHQ-9 + GAD-7). Medicare also has G0444 for annual depression screening."
Screening Instruments,Anxiety Screening (GAD-7),96127,Medicare / Private,Adults with risk factors or as part of routine behavioral health screening,Flag patients with anxiety risk factors or as second screening instrument alongside PHQ-9,$8,Per administration,Yes (as preventive),33,Same as depression screening; use validated GAD-7 instrument,Second unit of 96127 when administered same visit as PHQ-9.
Screening Instruments,"Developmental/Autism Screening (ASQ, M-CHAT)",96110,Private,"Children: 9 mo, 18 mo (developmental + autism), 24 mo (autism), 30 mo (developmental)",Flag pediatric patients at Bright Futures milestone ages; prompt for ASQ-3 or M-CHAT-R administration,$10,Per Bright Futures milestone visit,Yes (with modifier 33),33,"Standardized developmental screening instrument (ASQ-3, PEDS, M-CHAT-R/F), score documented, interpretation, referral if indicated",Bright Futures schedule. 96110 for developmental; 96127 can also be used for emotional/behavioral. Do not use 96110 for adolescent behavioral screens.
Screening Instruments,"Emotional/Behavioral Assessment (PSC, CRAFFT)",96127,Private,Children and adolescents at each preventive visit (Bright Futures),"Flag pediatric/adolescent patients at preventive visits; age-appropriate tool selection (PSC for younger, CRAFFT for adolescents)",$8,Per Bright Futures visit,Yes (with modifier 33),33,"Pediatric Symptom Checklist (PSC), CRAFFT (substance use), or other validated tool; score, interpretation, follow-up",Bright Futures recommends behavioral assessment at every well visit newborn through 21 years.
Screening Instruments,Alcohol Misuse Screening (AUDIT-C),"G0442 (Medicare), 99408-99409 (Private)",Medicare / Private,Medicare: all beneficiaries annually; Private: all adults 18+,Flag adult patients without alcohol screening in past 12 months; prompt AUDIT-C or CAGE administration,$20,Annual,Yes,33 (private),"Validated screening tool (AUDIT-C, CAGE, AUDIT), score documented; G0442 = screening, G0443 = counseling if positive; Private: 99408 (15-30 min), 99409 (>30 min)","Medicare: G0442 (screening) + G0443 (counseling if positive, up to 4 sessions/year). Private: 99408/99409 with modifier 33."
Screening Instruments,Substance Use Screening (DAST-10),"99408, 99409",Private,Adults 18+ (USPSTF B recommendation),Flag adult patients without substance use screening; prompt DAST-10 or NIDA Quick Screen,$30,Annual,Yes (with modifier 33),33,"Validated screening tool, score, interpretation, brief intervention if positive; 99408 = 15-30 min, 99409 = >30 min","SBIRT (Screening, Brief Intervention, Referral to Treatment) model. Can be lucrative if practice documents the brief intervention time."
Screening Instruments,Tobacco Use Screening & Counseling,"99406, 99407",Medicare / Private,All adults; pregnant women (expanded counseling),Flag patients with active tobacco use on social history or problem list; prompt for cessation counseling documentation,$18,Per session (multiple sessions/year allowed),Yes,33 (private),"99406 = 3-10 min counseling, 99407 = >10 min counseling; document time, intervention, patient response, plan","Medicare: up to 8 sessions per 12-month period (2 quit attempts, 4 sessions each). High-value for smoker-heavy panels."
Screening Instruments,Cognitive Assessment / Screening,96127 or 99483,Medicare / Private,AWV patients (cognitive impairment detection required); patients with cognitive complaints,Flag all AWV patients for cognitive screening; flag patients with memory complaints or dementia risk factors,$8,Annual (with AWV) or as indicated,Yes (when part of AWV),,"96127 for brief screening (MMSE, MoCA, Mini-Cog); 99483 for comprehensive cognitive assessment (requires full evaluation with care plan)",96127 for brief screening during AWV. 99483 (~$280) for comprehensive evaluation — much higher reimbursement but requires extensive documentation and ~50 min.
Screening Instruments,"Maternal Depression Screening (Edinburgh, PHQ-9)",96127,Private,Postpartum women at well-baby visits (Bright Futures); pregnant/postpartum women (USPSTF),Flag mothers of newborns/infants at well-baby visits; flag pregnant patients; prompt Edinburgh or PHQ-9,$8,Per well-baby visit / prenatal visit,Yes (with modifier 33),33,"Edinburgh Postnatal Depression Scale (EPDS) or PHQ-9; score documented, interpretation, referral if positive",Billable at well-baby visits under the mother's chart or baby's chart depending on payer policy. Bright Futures + USPSTF + WPSI all recommend.
Preventive Lab Screenings,,,,,,,,,,,
Preventive Lab Screenings,Cardiovascular Disease Screening (Lipid Panel),"80061, 82465, 83718, 84478",Medicare / Private,Medicare: all beneficiaries without CVD symptoms; Private: adults with risk factors per USPSTF,Flag patients without lipid panel in appropriate interval; age/risk-based recommendation engine,$35,Per USPSTF interval (varies by risk),Yes,33 (private),"Lipid panel: total cholesterol, LDL, HDL, triglycerides; order with appropriate diagnosis code (Z13.220)",Medicare covers every 5 years (or more frequently with risk factors). Private covers per USPSTF guidelines with modifier 33.
Preventive Lab Screenings,Diabetes Screening (Glucose / A1C),"82947, 82950, 82951 (Medicare); 82947 or 83036 (Private)",Medicare / Private,Medicare: beneficiaries with risk factors for diabetes or pre-diabetes; Private: adults 40-70 who are overweight/obese (USPSTF),Flag patients aged 40-70 with BMI ≥25 without glucose or A1C in past 3 years; flag patients with pre-diabetes risk factors,$20,Every 3 years (or annually with risk factors),Yes,33 (private),"Fasting glucose (82947), glucose tolerance test (82951), or HbA1c (83036); document indication and risk factors",Private payers: USPSTF recommends as part of cardiovascular risk assessment. Medicare has separate diabetes screening benefit.
Preventive Lab Screenings,Hepatitis C Screening,"G0472 (Medicare); 86803, 87520-87522 (Private)",Medicare / Private,"Medicare: adults at high risk, born 1945-1965, or had blood transfusion before 1992; Private: adults 18-79 (USPSTF)",Flag adults 18-79 without HCV screening on record; prioritize birth cohort 1945-1965,$30,One-time (or periodic if ongoing risk),Yes,33 (private),"HCV antibody test; if positive, confirmatory RNA test; document risk factors or universal screening indication",USPSTF expanded to universal screening for all adults 18-79 in 2020. Previously just the 1945-1965 birth cohort.
